,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
51,85601436,2019,2019-02-04 15:30,1.0,1,1,30.4188820807387,-84.0918616107111,U.S. 27 (S.R. 20 EAST),,COUNTY ROAD 1543,POINT (-84.09186161071111 30.4188820807387)
52,88099944,2019,2019-05-23 18:00,1.0,1,1,30.5182704923497,-84.3663740106836,WOODLANE CIRCLE,,STATE ROAD 263,POINT (-84.3663740106836 30.5182704923497)
53,89144702,2019,2019-10-05 21:10,1.0,1,2,30.447853,-84.283045,N DUVAL ST,,W GEORGIA ST,POINT (-84.283045 30.447853)
54,88276793,2019,2019-12-25 00:00,1.0,1,1,30.4640874642052,-84.1169049799761,BUCK LAKE ROAD,,OLD FARM ROAD,POINT (-84.1169049799761 30.4640874642052)
55,89298187,2019,2019-10-13 13:40,1.0,1,3,30.559469,-84.186249,BRADFORDVILLE RD,,SERNA DR,POINT (-84.186249 30.559469)
56,89298191,2019,2019-10-14 02:00,1.0,1,1,30.321627,-84.287263,TERN RD,904,,POINT (-84.287263 30.321627)
57,89297769,2019,2019-08-01 06:25,1.0,1,1,30.375589,-84.269724,CAPITAL CIR SE,,BIG BEND SCENIC BYWY,POINT (-84.269724 30.375589)
58,89141634,2019,2019-06-08 18:25,1.0,1,1,30.444307,-84.250187,N BLAIR STONE RD,,PARK AVE E,POINT (-84.250187 30.444307)
59,89298599,2019,2019-12-21 17:19,1.0,1,1,30.390981,-84.105315,F A ASH WAY,10264,,POINT (-84.105315 30.390981)
60,89143062,2019,2019-08-10 03:30,1.0,1,1,30.418384,-84.300443,MILL ST,2051,,POINT (-84.300443 30.418384)
61,89141547,2019,2019-06-05 01:40,1.0,1,1,30.487677,-84.226439,CENTERVILLE RD,,CATHAY CT,POINT (-84.226439 30.487677)
62,87292198,2019,2019-06-06 03:15,1.0,1,1,30.49029,-84.32267,U.S. HIGHWAY 27,,RAY ROAD,POINT (-84.32267 30.49029)
63,88060330,2019,2019-02-15 15:15,1.0,1,1,30.3790531326625,-84.230934843732,EASTBOUND STATE ROAD 259 (TRAM ROAD),,FOUR OAKS BLVD,POINT (-84.230934843732 30.3790531326625)
64,89298465,2019,2019-11-26 13:19,1.0,1,1,30.388233,-84.575389,BLOXHAM CUTOFF,,INDIAN OAK LN,POINT (-84.575389 30.388233)
65,89146396,2019,2019-12-06 18:03,1.0,1,1,30.45476,-84.313456,GREEN TREE LN,,HIGH RD,POINT (-84.313456 30.45476)
66,89144143,2019,2019-09-18 02:20,1.0,1,1,30.440054,-84.306905,W PENSACOLA ST,,STADIUM DR,POINT (-84.306905 30.440054)
67,88111404,2019,2019-11-05 12:00,1.0,1,1,30.4345768265742,-84.1211380962547,THE ROAD TO THE LAKE ROAD,,CHAIRES CROSS ROAD,POINT (-84.1211380962547 30.4345768265742)
68,88056992,2019,2019-06-29 06:00,1.0,1,1,30.4159643350858,-84.086356448845,UNITED STATES-27 (APALACHEE PARKWAY),,CAP TRAM ROAD,POINT (-84.086356448845 30.4159643350858)
70,88208074,2019,2019-09-30 13:52,1.0,1,1,30.6679233361481,-84.2508015119162,1392 IAMONIA CUT-OFF,,N MERIDIAN ROAD,POINT (-84.25080151191619 30.6679233361481)
71,89297828,2019,2019-08-09 19:12,1.0,1,1,30.516449,-84.067403,JEFFERSON RD S,,ROUNDTREE LN,POINT (-84.067403 30.516449)
72,89298308,2019,2019-11-01 16:00,1.0,1,1,30.562388,-83.992244,RO CO CO RD,16900,,POINT (-83.992244 30.562388)
73,89298230,2019,2019-10-20 05:25,1.0,1,1,30.510434,-84.372679,STONELER RD,,PAMELA LN,POINT (-84.37267900000001 30.510434)
74,89298466,2019,2019-11-28 15:00,1.0,1,1,30.562687,-84.254365,SLEEPY HOLLOW CIR,7223,OX BOW WAY,POINT (-84.25436500000001 30.562687)
75,89140993,2019,2019-05-11 05:52,1.0,1,1,30.483239,-84.362946,GEARHART RD,,CAPITAL CIR NW,POINT (-84.36294599999999 30.483239)
76,88160121,2020,2020-02-29 05:30,1.0,1,0,30.51949,-84.05039,US HIGHWAY 90 (STATE ROAD 10),,VETERANS MEMORIAL ROAD,POINT (-84.05038999999999 30.51949)
77,88261367,2020,2020-03-06 10:16,1.0,1,1,30.43537,-84.35296,US 319 /STATE ROAD 263,,WEST PENSACOLA STREET,POINT (-84.35296 30.43537)
78,88068970,2019,2019-12-28 19:45,1.0,1,1,30.3214,-84.2555,COUNTY ROAD 2204 (OAK RIDGE RD E),,WINTERBERRY WAY,POINT (-84.2555 30.3214)
79,89298816,2020,2020-02-01 17:55,1.0,1,2,30.37674,-84.531696,NFR-360,,NFR-374,POINT (-84.531696 30.37674)
80,88135085,2020,2020-01-03 14:20,1.0,1,1,30.4922709272849,-84.2797395078771,INTERSTATE 10 (STATE ROAD 8),,N MERIDIAN ROAD,POINT (-84.2797395078771 30.4922709272849)
81,89298559,2019,2019-12-15 05:00,1.0,1,1,30.514436,-84.350832,OLD BAINBRIDGE RD,4589,,POINT (-84.350832 30.514436)
82,89149065,2020,2020-04-14 18:09,1.0,1,2,30.476113,-84.308912,PLANTERS CROSSING APARTMENTS,,FRED SMITH RD,POINT (-84.30891200000001 30.476113)
83,89149057,2020,2020-04-11 16:46,1.0,1,2,30.481432,-84.301664,LAKESHORE DR,,N MONROE ST,POINT (-84.301664 30.481432)
84,88301119,2020,2020-05-14 06:30,1.0,1,1,30.3485441336514,-84.310830921555,STATE ROAD 61,,UNITED STATES HIGHWAY 319,POINT (-84.310830921555 30.3485441336514)
85,90111642,2020,2020-10-22 10:27,1.0,1,1,30.457464,-84.308405,COLORADO ST,,ALABAMA ST,POINT (-84.30840499999999 30.457464)
86,88160133,2020,2020-06-10 15:15,1.0,1,1,30.5250781195491,-84.1043492985669,EMPTY GRASS FIELD ALONGSIDE MC CRACKEN ROAD,,MC CRAKEN ROAD,POINT (-84.1043492985669 30.5250781195491)
87,89148420,2020,2020-02-28 18:17,1.0,1,2,30.432695,-84.201543,CONNER BLVD,,RESERVE DR,POINT (-84.201543 30.432695)
88,90109677,2020,2020-07-07 15:04,1.0,1,1,30.501502,-84.24933,RAMP FROM RAYMOND DIEHL RD TO I-10 E,,RAYMOND DIEHL RD,POINT (-84.24933 30.501502)
89,88181378,2020,2020-05-28 18:08,1.0,1,1,30.42337,-84.17257,US-27,,HARRISON HILL WAY,POINT (-84.17256999999999 30.42337)
90,87105356,2019,2019-12-30 21:10,1.0,1,1,30.3126562488682,-84.3420227902243,UNITED STATES HIGHWAY 319,,WILDFLOWER ROAD,POINT (-84.34202279022431 30.3126562488682)
91,88294838,2020,2020-04-30 22:55,1.0,1,3,30.3457628752785,-84.3138118311388,US HIGHWAY 319 SB  (CRAWFORDVILLE HWY),,STATE ROAD 61 (WAKULLA SPRINGS HWY),POINT (-84.31381183113881 30.3457628752785)
92,88294841,2020,2020-07-09 07:45,1.0,1,1,30.47806,-84.10789,INTERSTATE 10 (STATE ROAD 8) EM 212 MM,,BAUM ROAD,POINT (-84.10789 30.47806)
93,89149744,2020,2020-06-12 18:50,1.0,1,1,30.446389,-84.288689,W VIRGINIA ST,510,,POINT (-84.28868900000001 30.446389)
94,88258594,2020,2020-07-10 02:55,1.0,1,3,30.60799,-84.29526,CR-155 (N MERIDIAN RD),,IAMONA FARMS RD,POINT (-84.29526 30.60799)
95,89149448,2020,2020-05-23 21:14,1.0,1,3,30.420799,-84.250447,BLAIR STONE RD,,WINEWOOD BLVD,POINT (-84.25044699999999 30.420799)
96,89149292,2020,2020-05-08 11:40,1.0,1,1,30.412547,-84.291651,W ORANGE AVE,,WALNUT ST,POINT (-84.291651 30.412547)
97,89299440,2020,2020-08-11 15:45,1.0,1,1,30.413219,-84.081096,APALACHEE PKWY,10734,,POINT (-84.081096 30.413219)
98,88294840,2020,2020-06-19 15:20,1.0,1,1,30.32797,-84.3114,STATE ROAD 61 NB (WAKULLA SPRINGS HWY),,FORGET ME NOT TRAIL,POINT (-84.31140000000001 30.32797)
99,88276793,2019,2019-12-25 00:00,1.0,1,1,30.4640874642052,-84.1169049799761,BUCK LAKE ROAD,,OLD FARM ROAD,POINT (-84.1169049799761 30.4640874642052)
100,89298869,2020,2020-02-14 05:20,1.0,1,1,30.320818,-84.398003,SPRINGHILL RD,,CLINTON HUDSON SR LN,POINT (-84.398003 30.320818)
101,90110445,2020,2020-08-22 16:00,1.0,1,1,30.451575,-84.249292,N BLAIR STONE RD,,MAHAN DR,POINT (-84.249292 30.451575)
102,88068984,2020,2020-05-11 16:45,1.0,1,2,30.31579,-84.44311,STATE ROAD 267 (BLOXAM CUTOFF ROAD),,FOREST ROAD 369,POINT (-84.44311 30.31579)
103,89149313,2020,2020-05-10 15:50,1.0,1,1,30.478054,-84.24169,CENTERVILLE RD,,POTTS RD,POINT (-84.24169000000001 30.478054)
104,88366674,2020,2020-11-30 03:57,1.0,1,1,30.48144,-84.31368,INTERSTATE 10 MM 199 EB ENTRANCE RAMP,,US HIGHWAY 27,POINT (-84.31368000000001 30.48144)
105,88251329,2020,2020-10-10 17:40,1.0,1,2,30.3712442260359,-84.530890785298,FORREST ROAD 360,,FORREST ROAD 374,POINT (-84.530890785298 30.3712442260359)
106,88284205,2020,2020-10-04 17:30,1.0,1,1,30.50795,-84.34714,PERKINS ROAD,,COUNTY ROAD 0361 (OLD BAINBRIDGE RD),POINT (-84.34714 30.50795)
107,90112298,2020,2020-11-24 13:50,1.0,1,1,30.412505,-84.286111,W ORANGE AVE,,S ADAMS ST,POINT (-84.28611100000001 30.412505)
108,88301150,2020,2020-11-20 05:50,1.0,1,1,30.41591,-84.54613,HARVEY MILL CREEK ROAD,,STATE ROAD 20,POINT (-84.54613000000001 30.41591)
109,83822612,2020,2020-12-04 18:05,1.0,1,1,30.4787372800975,-84.3617290914307,INTERSTATE 10,,196MM EB ENTRANCE RAMP,POINT (-84.3617290914307 30.4787372800975)
110,89299544,2020,2020-09-04 15:15,1.0,1,1,30.442043,-84.475326,COE LANDING RD,254,,POINT (-84.475326 30.442043)
111,89298754,2020,2020-01-21 01:30,1.0,1,2,30.288863,-84.237009,PINE TREE TRL,,OLD PINE ACRES TRL,POINT (-84.237009 30.288863)
112,89298806,2020,2020-01-31 17:21,1.0,1,1,30.31439,-84.155945,OLD PLANK RD,,REGIMENT LOOP NW,POINT (-84.155945 30.31439)
113,90110985,2020,2020-09-18 17:21,1.0,1,1,30.440054,-84.306814,W PENSACOLA ST,,STADIUM DR,POINT (-84.306814 30.440054)
114,87208895,2020,2020-07-07 23:05,1.0,1,1,30.49251,-84.36141,STATE ROAD 263NW (CAPITAL CIRCLE NW),,FRED GEORGE ROAD,POINT (-84.36141000000001 30.49251)
115,88276819,2020,2020-08-14 12:40,1.0,1,1,30.5012076774173,-84.2495888038094,INTERSTATE 10 (STATE ROAD 8) EB ENTRANCE RAMP,,RAYMOND DIEHL,POINT (-84.2495888038094 30.5012076774173)
116,90110438,2020,2020-08-22 13:09,1.0,1,1,30.383682,-84.293441,CRAWFORDVILLE TRACE,997,,POINT (-84.293441 30.383682)
117,90111310,2020,2020-10-06 10:47,1.0,1,1,30.502558,-84.252483,RAMP FROM SR-61 S TO I-10 W,,THOMASVILLE RD,POINT (-84.252483 30.502558)
118,90112139,2020,2020-11-15 18:01,1.0,1,1,30.456315,-84.264715,E 6TH AVE,,LEE AVE,POINT (-84.264715 30.456315)
119,88303489,2020,2020-06-05 00:00,1.0,1,0,30.3260121811622,-84.4599072224542,STATE RD 267,,FOREST RD 307,POINT (-84.45990722245421 30.3260121811622)
120,89148913,2020,2020-03-23 18:30,1.0,1,1,30.369497,-84.183809,TRAM RD,,SAINT JOE RD,POINT (-84.183809 30.369497)
121,89299914,2020,2020-12-14 22:56,1.0,1,1,30.407626,-84.421576,BACKWOODS JACKSON BLUFF RD,,SILVER LAKE RD,POINT (-84.421576 30.407626)
122,88261414,2020,2020-12-25 14:07,1.0,1,1,30.4913,-84.28225,INTERSTATE 10 (STATE ROAD 8) EB MM 201,,STATE ROAD 61 (THOMASVILLE ROAD),POINT (-84.28225 30.4913)
123,90110584,2020,2020-08-29 16:18,1.0,1,5,30.580814,-84.272248,OAK GROVE RD,,DANCING SHADOW CT,POINT (-84.272248 30.580814)
124,88366703,2021,2021-04-03 20:10,1.0,1,2,30.50442,-84.34304,COUNTY ROAD 0361 (OLD BAINBRIDGE RD),,WESTBURY DR,POINT (-84.34304 30.50442)
125,88301168,2021,2021-03-26 16:16,1.0,1,2,30.4109,-84.55534,18600 BLOUNTSTOWN HWY,,COLLINS LANDING ROAD,POINT (-84.55534 30.4109)
126,88291140,2021,2021-04-10 21:40,1.0,1,1,30.3271,-84.39683,STATE ROAD 373 (SPRINGHILL ROAD),,O H HUDSON LANE,POINT (-84.39682999999999 30.3271)
127,90114706,2021,2021-04-07 10:23,1.0,1,1,30.422826,-84.248921,BLAIRSTONE CT,2731,,POINT (-84.248921 30.422826)
128,90114347,2021,2021-03-18 00:33,1.0,1,2,30.423017,-84.243632,N PAUL RUSSELL RD,,PAUL RUSSELL CIR,POINT (-84.24363200000001 30.423017)
129,24339155,2021,2021-04-18 16:00,1.0,1,1,30.531853,-84.361832,CAPITAL CIR NW,,N MONROE ST,POINT (-84.36183200000001 30.531853)
130,88301181,2021,2021-05-22 10:09,1.0,1,1,30.66833,-84.27852,COUNTY ROAD 122,,SILVER BRANCH DRIVE,POINT (-84.27852 30.66833)
131,24339380,2021,2021-06-27 08:38,1.0,1,1,30.346354,-84.257285,BIG BEND SCENIC BYWY,,OLD WOODVILLE RD,POINT (-84.257285 30.346354)
132,88280096,2021,2021-05-07 19:17,1.0,1,1,30.3452528511153,-84.3841156673659,STATE ROAD 373,,E W REEVES ROAD,POINT (-84.3841156673659 30.3452528511153)
133,89299440,2020,2020-08-11 15:45,1.0,1,1,30.413219,-84.081096,APALACHEE PKWY,10734,,POINT (-84.081096 30.413219)
134,90114802,2021,2021-04-10 13:10,1.0,1,1,30.501231,-84.331575,FRED GEORGE RD,,,POINT (-84.331575 30.501231)
135,88349820,2021,2021-04-07 06:30,1.0,1,1,30.47802,-84.09114,INTERSTATE 10 MM213 WB,,GAMBLE ROAD (STATE ROAD 59),POINT (-84.09114 30.47802)
136,90114826,2021,2021-04-12 00:35,1.0,1,1,30.47802,-84.311552,PULLEN RD,,GRAVES RD,POINT (-84.31155200000001 30.47802)
137,24339191,2021,2021-04-30 06:44,1.0,1,1,30.664722,-84.166051,US-319,,CR-12,POINT (-84.166051 30.664722)
138,90114549,2021,2021-03-29 18:39,1.0,1,1,30.412515,-84.301792,W ORANGE AVE,,SPRINGHILL RD,POINT (-84.30179200000001 30.412515)
139,90113055,2021,2021-01-07 18:19,1.0,1,1,30.455728,-84.36106,CAPITAL CIR NW,,W TENNESSEE ST,POINT (-84.36105999999999 30.455728)
140,88291138,2021,2021-03-31 20:30,1.0,1,1,30.55847,-84.04539,COUNTY ROAD 59 (VETERANS MEMORIAL),,ROCOCO ROAD,POINT (-84.04539 30.55847)
141,88316037,2021,2021-04-17 09:50,1.0,2,2,30.52043,-84.05423,US-90 (STATE ROAD 10),,STILL CREEK RD,POINT (-84.05423 30.52043)
142,88316038,2021,2021-04-17 13:04,1.0,1,3,30.37573,-84.639,COUNTY ROAD 375 (SMIITH CREEK RD),,BLAZING STAR LN,POINT (-84.639 30.37573)
143,89297788,2019,2019-08-03 01:00,1.0,1,0,30.393435,-84.104532,W W KELLEY RD,4792,,POINT (-84.10453200000001 30.393435)
144,24338975,2021,2021-02-23 18:13,1.0,1,2,30.403725,-84.30826,SPRINGHILL RD,,SPRINIL RD,POINT (-84.30826 30.403725)
145,87836819,2018,2018-05-06 15:26,2.0,1,2,30.404875,-84.283697,PAUL RUSSELL RD,,ADAMS ST S,POINT (-84.283697 30.404875)
146,90116105,2021,2021-06-19 14:32,2.0,1,3,30.438023,-84.268138,APALACHEE PKWY,,GOODBODY LN,POINT (-84.26813799999999 30.438023)
148,87844396,2019,2019-02-12 14:12,3.0,1,1,30.476268,-84.285596,JOHN KNOX RD,298,,POINT (-84.285596 30.476268)
150,89298510,2019,2019-12-07 02:17,3.0,1,2,30.618476,-84.252754,BULL HEADLEY RD,10156,,POINT (-84.252754 30.618476)
151,89299922,2020,2020-12-15 18:32,3.0,2,3,30.296696,-84.243773,WOODVILLE HIGHWAY,,NATURAL WELLS DR,POINT (-84.243773 30.296696)
152,88269837,2020,2020-03-26 22:25,3.0,1,0,30.4553558426122,-84.4830192267621,1298 COE LANDING RD,,COE BLUFF RD,POINT (-84.4830192267621 30.4553558426122)
153,90114976,2021,2021-04-18 15:02,3.0,1,1,30.421069,-84.290426,PALM BEACH ST,,WAHNISH WAY,POINT (-84.290426 30.421069)
154,85577065,2018,2018-06-15 16:53,4.0,1,4,30.4792546480894,-84.1202409379184,INTERSTATE 10 MM 211 WB,,CHAIRS CROSS ROAD,POINT (-84.1202409379184 30.4792546480894)
155,83224896,2018,2018-07-24 17:31,4.0,1,2,30.4867747239769,-84.2950391583145,MM200,,INTERSTATE 10,POINT (-84.29503915831449 30.4867747239769)
157,87193410,2018,2018-08-16 15:35,4.0,1,1,30.4856116345312,-84.3957664795431,INTERSTATE 10 (STATE ROAD 8),,US 90,POINT (-84.3957664795431 30.4856116345312)
158,84483276,2019,2019-03-11 14:41,4.0,1,2,30.4775991887883,-84.0914370996595,INTERSTATE 10,,BAUM ROAD,POINT (-84.0914370996595 30.4775991887883)
159,89298880,2020,2020-02-16 09:42,4.0,1,1,30.590956,-84.252345,BULL HEADLEY RD,,ROBIN KAY RD,POINT (-84.25234500000001 30.590956)
160,88238880,2020,2020-12-12 14:12,4.0,1,2,30.4800973824218,-84.1499039494137,INTERSTATE 10 EASTBOUND 209 MM,,U..S. HIGHWAY 90,POINT (-84.1499039494137 30.4800973824218)
161,24339062,2021,2021-03-19 08:05,4.0,1,1,30.503813,-84.361853,CAPITAL CIR NW,,DEERRUN DR,POINT (-84.361853 30.503813)
163,86964639,2018,2018-02-06 23:54,5.0,1,1,30.44709,-84.280579,N MONROE ST,,E CAROLINA ST,POINT (-84.280579 30.44709)
164,85546401,2018,2018-01-23 11:30,5.0,2,2,30.4784931521863,-84.336150046438,INTERSTATE 10,,STATE ROAD 263,POINT (-84.33615004643799 30.4784931521863)
165,87836245,2018,2018-04-16 12:36,5.0,3,4,30.427281,-84.227472,APALACHEE PKWY,,CAPITAL CIR SE,POINT (-84.22747200000001 30.427281)
166,87227462,2018,2018-05-15 21:10,5.0,2,2,30.47634,-84.18271,U.S. 90 (STATE ROAD 10),,PEDRICK ROAD,POINT (-84.18271 30.47634)
168,88098364,2019,2019-10-04 08:50,5.0,2,2,30.6226603283417,-84.1698615369652,U.S. 319 (SR-61),,CHEROKEE PLANTATION ROAD,POINT (-84.1698615369652 30.6226603283417)
170,89298109,2019,2019-10-02 17:00,5.0,2,2,30.621532,-84.170215,THOMASVILLE RD,,,POINT (-84.170215 30.621532)
172,89297526,2019,2019-07-10 12:55,5.0,2,2,30.419149,-84.141682,APALACHEE PKWY,,LOUVINIA DR,POINT (-84.141682 30.419149)
173,88181374,2020,2020-03-24 14:30,5.0,2,7,30.49755,-84.26714,INTERSTATE 10,,MILE MARKER 202 WESTBOUND,POINT (-84.26714 30.49755)
174,88326806,2020,2020-06-02 17:20,5.0,2,2,30.4913,-84.28225,INTERSTATE 10 (STATE ROAD 8),,UNITED STATES 319,POINT (-84.28225 30.4913)
175,90110634,2020,2020-09-01 09:04,5.0,1,1,30.455113,-84.342503,W TENNESSEE ST,,SENATOR PAT THOMAS BLVD,POINT (-84.34250299999999 30.455113)
176,88294849,2020,2020-09-21 08:45,5.0,2,2,30.4848689221239,-84.3018744886329,INTERSTATE 10 STATE ROAD 8) WB 199 MM,,STATE ROAD 63 (N MONROE STREET),POINT (-84.3018744886329 30.4848689221239)
177,88346424,2021,2021-01-09 20:00,5.0,4,10,30.5455041871404,-84.2264011891215,US-319 (THOMASVILLE RD),,LENNOX MILL RD,POINT (-84.2264011891215 30.5455041871404)
