report_number,crash_year,crash_date_time,report_date_time,investigating_agency_rep_num,form_type,total_number_of_vehicles,total_number_of_persons,total_number_of_narratives,county_code,city_code,county_name,city_name,rural_or_urban,notified_time,dispatched_time,arrived_time,cleared_time,completed_flag,reason_not_completed,notified_by,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,type_of_shoulder,type_of_intersection,photos_taken_flag,light_condition,weather_condition,road_surface_condition,school_bus_related_code,type_of_impact,first_harmful_event,harmful_event_location,interchange_flag,junction_flag,road_circumstances_1,road_circumstances_2,road_circumstances_3,environment_circumstances_1,environment_circumstances_2,environment_circumstances_3,work_zone_related_flag,location_within_zone,type_of_work_zone,workers_present,law_enforcement_present,investigator_id,investigator_rank,investigator_first_name,investigator_middle_name,investigator_last_name,investigator_suffix,investigating_agency_name,investigating_agency_type,load_dt90838674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,88,1,1,1,1,32,2,88,1,1,,,1,,,1,,,,,217,DEPUTY,,,EPLHASE,,LEON COUNTY,2,2011-03-08 15:54
71900186,2011,2011-04-01 01:46,2011-04-01 02:12,11008780,U,1,2,0,13,50,13,50,2,2011-04-01 01:46,2011-04-01 01:47,2011-04-01 01:48,2011-04-01 02:31,2,,2,W Tennessee St,2614,,,,,,,,9,3,1,2,4,1,1,1,3,10,1,,1,1,,,1,,,1,,,,,93638,Officer,,,,,Tallahassee Police Department,2,2012-02-10 09:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899108,2011,2011-02-09 23:51,2011-02-10 00:24,11003892,L,1,2,0,13,50,13,50,2,2011-02-09 23:51,2011-02-09 23:53,2011-02-09 23:54,2011-02-10 00:54,2,,2,Belle Vue Way,,,,250,,E,B Ocala Rd,,5,1,1,1,4,3,2,1,4,10,10,1,18,10,,,2,,,1,,,,,98630,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898930,2011,2011-02-01 18:41,2011-02-01 21:49,11003114,L,1,4,0,13,50,13,50,2,2011-02-01 18:41,2011-02-01 18:42,2011-02-01 18:42,2011-02-01 19:09,2,,2,State Road 371 Lake Bradford Rd Rd,1907,,,,,,,,3,3,1,1,4,2,1,1,77,10,1,1,18,1,,,1,,,1,,,,,89331,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898993,2011,2011-02-04 19:47,2011-03-03 10:21,11003407,U,0,1,0,13,50,13,50,2,2011-02-04 19:47,2011-02-04 19:48,2011-02-04 19:54,2011-02-04 20:14,2,,2,S Duval St,,,,,,,Hwy 20,,2,3,2,1,4,3,2,1,77,10,1,1,1,1,,,1,,,1,,,,,92304,Officer,,,,,Tallahassee Police Department,2,2012-02-03 09:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899765,2011,2011-03-14 14:55,2011-03-14 21:44,11006897,L,1,1,0,13,50,13,50,2,2011-03-14 14:59,2011-03-14 15:00,2011-03-14 15:20,2011-03-14 15:38,1,Hit and run,2,S Monroe St,2500,,,,,,,,4,3,77,2,1,1,1,1,3,10,1,1,77,1,,,88,,,1,,,,,14506,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898362,2011,2011-01-07 11:38,2011-01-07 11:39,11000671,L,1,2,0,13,50,13,50,2,2011-01-07 11:37,2011-01-07 11:38,2011-01-07 11:59,2011-01-07 13:30,2,,2,Flagler St,,,,200,,E,B Gadsden St,,5,2,1,2,1,1,1,1,2,10,1,,77,1,,,1,,,1,,,,,62215,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899458,2011,2011-02-26 17:25,2011-02-26 19:00,11005426,L,1,3,0,13,50,13,50,2,2011-02-26 17:25,2011-02-26 17:26,2011-02-26 17:28,2011-02-26 18:01,2,,2,W Pensacola St,2700,,,,,,,,9,2,1,1,1,1,1,1,88,10,2,1,1,1,,,1,,,1,,,,,98652,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899723,2011,2011-03-12 19:41,2011-03-12 22:17,11006720,L,1,2,0,13,50,13,50,2,2011-03-12 19:41,2011-03-12 19:43,2011-03-12 19:52,2011-03-12 20:32,2,,2,U S 27 Apalachee Parkway,2511,,,,,,,,3,2,1,1,4,1,1,1,77,10,10,1,1,1,,,1,,,1,,,,,97676,OFFICER,,,,,Tallahassee Police Department,2,2011-03-22 14:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899833,2011,2011-03-17 07:24,2011-03-17 08:18,11007195,L,1,2,0,13,50,13,50,2,2011-03-17 07:26,2011-03-17 07:26,2011-03-17 07:28,2011-03-17 08:15,2,,2,Jim Lee Rd,,,,,,,Paul Russell Rd,,5,3,2,1,3,1,1,1,77,10,1,1,2,1,,,1,,,1,,,,,92041,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899942,2011,2011-03-20 19:15,2011-03-28 14:10,11007594,U,1,1,0,13,50,13,50,2,2011-03-20 19:15,2011-03-20 19:18,2011-03-20 19:29,2011-03-20 20:40,1,,2,Balsam Ter,,,,,,,US 27 Hwy,,2,3,77,1,1,1,1,1,77,10,1,1,3,1,,,1,,,1,,,,,92304,Officer,,,,,Tallahassee Police Department,2,2012-02-07 09:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899863,2011,2011-03-17 16:50,2011-03-17 22:58,11007248,L,1,2,0,13,50,13,50,2,2011-03-17 16:51,2011-03-17 16:52,2011-03-17 16:54,2011-03-17 17:10,2,,2,S St Rd 61 S Monroe St St,,,,,,,E Gaines St,,3,3,2,1,1,1,1,1,,10,1,1,1,1,,,1,,,1,,,,,89331,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72874902,2011,2011-03-24 20:42,2011-03-24 00:00,2011-295,L,1,3,0,13,30,13,1330,2,2011-03-24 20:42,2011-03-24 20:43,2011-03-24 20:44,2011-03-24 21:54,2,,2,WAHNISH WAY,,,,30,,N,WAHNISH WAY AND OKALOOSA,,5,1,1,2,4,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,726,OFFICER,,,,,FAMU PD,2,2011-03-26 07:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90839689,2011,2011-02-04 02:10,2011-02-04 00:00,1123984,L,1,4,0,13,50,LEON,TALLAHASSEE,2,2011-02-04 02:11,2011-02-04 02:13,2011-02-04 02:21,2011-02-04 03:07,2,,2,TIMBERLANE ROAD,,,,100,,E,TIMBERLANE SCHOOL ROAD,,5,2,1,1,4,2,2,1,77,10,1,1,1,1,,,1,,,1,,,,,597,DEP,R,,GAINES III,,LEON COUNTY SHERIFFS OFFICE,2,2011-03-16 17:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90836233,2011,2011-02-26 17:46,2011-02-26 00:00,1140786,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2011-02-26 17:46,2011-02-26 17:46,2011-02-26 17:46,2011-02-26 19:03,2,,2,THOMASVILLE ROAD,5500,,,,,,,,9,3,1,1,2,1,1,1,77,10,1,1,1,1,,,4,,,1,,,,,558,DEPUTY,T,,EPSTEIN,,LEON COUNTY,2,2011-04-01 11:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73169846,2011,2011-01-10 12:20,2011-01-10 00:00,11010071,L,1,2,0,13,40,LEON,FLORIDA STATE UNIVERSITY,2,2011-01-10 12:29,2011-01-10 12:29,2011-01-10 12:32,2011-01-10 13:03,2,,1,COPELAND STREET,,,,,,,CALL STREET,,5,1,2,1,1,2,2,1,77,10,1,1,2,1,,,77,,,1,,,,,422,OFFICER,MICHAEL,,POHTO,,FSUPD,3,2011-04-01 12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73169848,2011,2011-01-11 14:35,2011-01-11 00:00,11010083,L,1,2,0,13,40,LEON,FLORIDA STATE UNIVERSITY,2,2011-01-11 14:35,,2011-01-11 14:35,,2,,1,ACADEMIC WAY,,,,500,,E,ACADEMIC WAY AND TERRITORY WAY,,5,1,1,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,452,OFFICER,UK,,BARINEAU,,FSUPD,3,2011-04-01 12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900119,2011,2011-03-29 13:23,2011-03-31 15:28,11008513,U,1,1,0,13,50,13,50,2,2011-03-29 13:27,2011-03-29 13:28,2011-03-29 13:31,2011-03-29 14:45,2,,2,US Highway 90,491,,,60,,E,Macomb St,,3,3,1,1,1,2,1,1,77,10,10,1,4,1,,,1,,,1,,,,,92304,Officer,,,,,Tallahassee Police Department,2,2012-02-10 09:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899265,2011,2011-02-16 17:47,2011-02-16 23:03,11004516,L,1,1,0,13,50,13,50,2,2011-02-16 17:47,2011-02-16 17:49,2011-02-16 17:52,2011-02-16 19:02,2,,2,W Tuskeegee St,,,,100,,E,Pasco St,,5,3,1,1,1,1,1,1,88,10,1,1,1,1,,,1,,,1,,,,,92301,Officer,,,,,Tallahassee Police Department,2,2011-04-02 07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900010,2011,2011-03-24 13:15,2011-03-24 13:48,11007939,L,1,2,0,13,50,13,50,2,2011-03-24 13:15,2011-03-24 13:15,2011-03-24 13:18,2011-03-24 14:30,2,,2,W US 90 Hwy,,,,,,,E Adams Sq,,2,3,2,1,1,1,1,1,2,10,1,1,2,1,,,1,,,1,,,,,32408,Officer,,,,,Tallahassee Police Department,2,2011-04-02 07:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900045,2011,2011-03-26 03:04,2011-03-26 04:00,11008158,L,1,4,0,13,50,13,50,2,2011-03-26 03:06,2011-03-26 03:08,2011-03-26 03:09,2011-03-26 03:44,2,,1,White Dr,,,,20,,E,Horne Dr,,5,3,1,2,4,1,1,1,77,10,,1,1,1,,,1,,,1,,,,,96905,OFFICER,,,,,Tallahassee Police Department,2,2011-04-02 07:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73169853,2011,2011-01-19 15:43,2011-01-19 00:00,11010173,L,1,2,0,13,40,LEON,FLORIDA STATE UNIVERSITY,2,2011-01-19 15:44,2011-01-19 15:44,2011-01-19 15:45,2011-01-19 16:30,2,,1,COPELAND STREET,,,,,,,COLLEGE AVENUE,,5,3,3,1,1,1,1,1,3,10,1,1,2,1,,,1,,,1,,,,,,,,,,,UK,4,2011-04-01 12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71899512,2011,2011-03-01 15:45,2011-03-01 16:42,11005694,L,1,3,0,13,50,13,50,2,2011-03-01 15:45,2011-03-01 15:47,2011-03-01 15:48,2011-03-01 16:11,2,,2,Old Bainbridge Rd,,,,30,,S,Raa Ave,,5,2,1,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,92675,Officer,,,,,Tallahassee Police Department,2,2011-04-02 07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900148,2011,2011-03-30 16:13,2011-03-30 17:03,11008616,L,1,4,0,13,50,13,50,2,2011-03-30 16:13,2011-03-30 16:13,2011-03-30 16:13,2011-03-30 18:06,2,,2,CR158 West Tharpe St Rd,,,,,,,Colorado St,,4,3,2,1,1,2,2,1,,10,4,1,2,1,,,1,,,1,,,,,83202,Officer,,,,,Tallahassee Police Department,2,2011-04-02 07:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900683,2011,2011-04-21 14:28,2011-04-21 15:14,11010880,L,1,2,0,13,50,13,50,2,2011-04-21 14:27,2011-04-21 14:30,2011-04-21 14:31,2011-04-21 15:10,2,,2,NE Capital Cir,2743,,,,,,,,,3,1,1,1,1,1,1,3,10,,,4,1,,,1,,,1,,,,,7408,Officer,,,,,Tallahassee Police Department,2,2011-05-20 13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900439,2011,2011-04-11 12:23,2011-04-11 14:42,11009790,L,1,2,0,13,50,13,50,2,2011-04-11 12:23,2011-04-11 12:23,2011-04-11 12:26,2011-04-11 12:30,2,,2,W US Hwy 90 Tennessee St,2514,,,,,,,,2,3,77,1,1,1,1,1,77,10,2,1,4,1,,,1,,,1,,,,,86418,Officer,,,,,Tallahassee Police Department,2,2011-05-14 07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900735,2011,2011-04-23 17:58,2011-04-23 18:38,11011133,L,1,2,0,13,50,13,50,2,2011-04-23 17:58,2011-04-23 17:59,2011-04-23 18:01,2011-04-23 18:30,2,,2,Ocala Rd,,,,,,,Rumba Ln,,5,3,1,1,1,1,1,1,3,10,,1,4,1,,,3,,,1,,,,,96622,Officer,,,,,Tallahassee Police Department,2,2011-05-14 07:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900925,2011,2011-05-02 17:39,2011-05-02 18:58,11011994,L,1,2,0,13,50,13,50,2,2011-05-02 17:39,2011-05-02 17:39,2011-05-02 17:42,2011-05-02 17:54,2,,2,W Tharpe St,,,,300,,S,Flaconcrest Dr,,4,2,1,1,1,1,1,1,,10,1,,,1,,,1,,,1,,,,,98566,Officer,,,,,Tallahassee Police Department,2,2011-05-14 07:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900323,2011,2011-04-06 15:54,2011-04-06 23:56,11009311,L,1,2,0,13,50,13,50,2,2011-04-06 15:54,2011-04-06 15:56,2011-04-06 16:07,2011-04-06 16:08,2,,2,SR 61 Thomasville Rd,1117,,,,,,,,9,2,1,1,1,1,1,1,77,10,8,1,1,1,,,1,,,1,,,,,98565,Officer,,,,,Tallahassee Police Department,2,2011-05-14 07:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900416,2011,2011-04-10 15:17,2011-04-10 15:55,11009718,L,1,2,0,13,50,13,50,2,2011-04-10 15:17,2011-04-10 15:18,2011-04-10 15:24,2011-04-10 15:40,2,,2,SR 155 N Meridian Road,2870,,,,,,,,3,3,77,1,1,1,1,1,77,10,10,1,77,1,,,1,,,1,,,,,98565,Officer,,,,,Tallahassee Police Department,2,2011-05-14 07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900849,2011,2011-04-29 08:10,2011-04-29 14:39,11011665,L,1,2,0,13,50,13,50,2,2011-04-29 09:27,2011-04-29 09:28,2011-04-29 09:44,2011-04-29 10:50,2,,2,S Duval St,,,,,,,S Madison St,,5,3,2,1,1,1,1,1,77,10,1,2,2,1,,,4,,,1,,,,,40708,Officer,,,,,Tallahassee Police Department,2,2011-05-14 07:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71900976,2011,2011-05-05 10:25,2011-05-05 13:01,11012245,L,1,2,0,13,50,13,50,2,2011-05-05 10:26,2011-05-05 10:27,2011-05-05 10:34,2011-05-05 11:20,2,,1,Heritage Grove,,,,5,,S,Ocala Rd,,5,3,2,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,44214,Officer,,,,,Tallahassee Police Department,2,2011-05-20 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71901140,2011,2011-05-13 21:51,2011-05-13 23:54,11013118,L,1,2,0,13,50,13,50,2,2011-05-13 21:51,2011-05-13 21:52,2011-05-13 21:58,2011-05-13 22:30,2,,2,N US 27 Hwy,,,,5,,E,Call St,,3,1,1,1,4,2,1,1,77,10,1,1,1,1,,,1,,,1,,,,,96302,Officer,,,,,Tallahassee Police Department,2,2011-05-20 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71901270,2011,2011-05-21 11:41,2011-05-26 08:47,11013828,U,1,4,0,13,50,13,50,2,2011-05-21 11:41,2011-05-21 11:42,2011-05-21 11:54,2011-05-21 12:29,2,,2,S Blair Stone Rd,,,,300,,E,Blair Stone Rd,,9,3,1,1,1,1,1,1,77,10,8,1,1,1,,,1,,,1,,,,,92304,Officer,,,,,Tallahassee Police Department,2,2012-02-14 10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71901407,2011,2011-05-27 18:57,2011-05-27 20:07,11014449,L,1,3,0,13,50,13,50,2,2011-05-27 18:57,2011-05-27 18:57,2011-05-27 19:01,2011-05-27 20:15,2,,2,N Ocala Rd,,,,,,,Rumba Ln,,5,3,3,1,1,1,1,1,2,10,1,1,1,1,,,1,,,1,,,,,94857,Officer,,,,,Tallahassee Police Department,2,2011-05-31 09:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71901282,2011,2011-05-22 02:02,2011-05-22 03:20,11013891,L,1,2,0,13,50,13,50,2,2011-05-22 02:02,2011-05-22 02:07,2011-05-22 02:16,2011-05-22 03:20,2,,2,Fifield Ln,,,,,,,S Pensacola St,,5,3,77,2,4,1,1,1,5,10,1,1,2,1,,,1,,,1,,,,,50211,Officer,,,,,Tallahassee Police Department,2,2011-06-08 07:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81966018,2011,2011-05-26 18:39,2011-05-26 19:06,FHPH11OFF015408,L,1,3,0,13,50,LEON,TALLAHASSEE,2,2011-05-26 18:50,2011-05-26 18:50,2011-05-26 18:56,2011-05-26 19:29,2,,2,DEMPSEY MAYO JNO SR 10,,30.4678166666667,-84.21011,,,,,,3,2,1,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,2863,TROOPER,,,,,FLORIDA HIGHWAY PATROL,1,2011-06-07 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71901527,2011,2011-06-02 04:13,2011-06-02 04:35,11014940,L,1,1,0,13,50,13,50,2,2011-06-02 04:13,2011-06-02 04:14,2011-06-02 04:18,2011-06-02 04:38,2,,2,Holton St,2505,,,,,,,,5,3,1,1,4,1,1,1,5,10,1,1,88,1,,,1,,,1,,,,,98794,Officer,,,,,Tallahassee Police Department,2,2011-06-08 07:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71901568,2011,2011-06-04 11:21,2011-06-04 12:03,11015186,L,1,3,0,13,50,13,50,2,2011-06-04 11:21,2011-06-04 11:21,2011-06-04 11:28,2011-06-04 11:55,2,,2,Centre Pointe Blvd,1900,,,,,,,,9,3,1,1,1,1,1,1,77,10,8,1,1,1,,,3,,,1,,,,,15317,Officer,,,,,Tallahassee Police Department,2,2011-06-21 07:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
